款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,說明
1,1,4,,0117010400,貨物稅,"136,621,000 ","122,427,000 ","115,090,891 ","14,194,000 ","估計本年度收入如列數，其中臺
北市國稅局為1,000千元，高雄
市國稅局為40,858,000千元，臺
灣省北區國稅局為76,412,111千
元，臺灣省中區國稅局為30,804
,000千元，臺灣省南區國稅局為
3,726,000千元，合共151,801,1
11千元，按90％計列136,621,00
0千元。"
1,1,5,,0117010500,證券交易稅,"114,399,000 ","122,000,000 ","105,956,213 ","-7,601,000 ","估計本年度收入如列數，其中臺
北市國稅局為61,813,000千元，
高雄市國稅局為6,772,000千元
，臺灣省北區國稅局為22,673,0
00千元，臺灣省中區國稅局為13
,618,000千元，臺灣省南區國稅
局為9,523,000千元。"
1,1,6,,0117010800,期貨交易稅,"4,821,000 ","4,352,000 ","3,749,691 ","469,000 ","估計本年度收入如列數，其中臺
北市國稅局為4,417,000千元，
高雄市國稅局為121,000千元，
臺灣省北區國稅局為85,000千元
，臺灣省中區國稅局為163,000
千元，臺灣省南區國稅局為35,0
00千元。"
1,1,7,,0117010900,菸酒稅,"39,437,000 ","39,437,000 ","36,279,273 ",0 ,"估計本年度收入如列數，其中臺
北市國稅局為9,250千元，高雄
市國稅局為4,120,000千元，臺
灣省北區國稅局為22,752,000千
元，臺灣省中區國稅局為13,509
,000千元，臺灣省南區國稅局為
8,906,000千元，合共49,296,25
0千元，按80%計列39,437,000千
元。"
1,1,8,,0117011100,營業稅,"161,197,000 ","136,380,000 ","136,783,840 ","24,817,000 ","估計本年度營業稅收入263,393,
791千元，依加值型及非加值型
營業稅法第58條規定，提撥統一
發票獎金之經費7,901,814千元
外，另按餘數提列60%計153,295
,186千元，合共如列數，其中臺
北市國稅局為90,758,000千元，
高雄市國稅局為12,180,000千元
，臺灣省北區國稅局為26,159,0
00千元，臺灣省中區國稅局為24
,791,000千元，臺灣省南區國稅
局為7,309,000千元。"
1,2,,,0126010000,經濟部,-,-,38 ,-,
1,2,1,,0126010600,礦區稅,-,-,38 ,-,"前年度決算數係追繳以前各期欠
稅收入。"
2,,,,0400000000,罰款及賠償收入,"24,807,807 ","24,705,327 ","23,223,029 ","102,480 ",
2,1,,,0402010000,總統府,-,-,14 ,-,
2,1,1,,0402010300,賠償收入,-,-,14 ,-,
2,1,1,1,0402010301,一般賠償收入,-,-,14 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,2,,,0402100000,國家安全會議,-,-,13 ,-,
2,2,1,,0402100300,賠償收入,-,-,13 ,-,
2,2,1,1,0402100301,一般賠償收入,-,-,13 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,3,,,0402300000,國史館,-,-,34 ,-,
2,3,1,,0402300300,賠償收入,-,-,34 ,-,
2,3,1,1,0402300301,一般賠償收入,-,-,34 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,4,,,0402310000,國史館臺灣文獻館,-,-,9 ,-,
2,4,1,,0402310300,賠償收入,-,-,9 ,-,
2,4,1,1,0402310301,一般賠償收入,-,-,9 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,5,,,0402400000,中央研究院,"3,000 ","2,500 ","4,496 ",500 ,
2,5,1,,0402400300,賠償收入,"3,000 ","2,500 ","4,496 ",500 ,
2,5,1,1,0402400301,一般賠償收入,"3,000 ","2,500 ","4,496 ",500 ,"本年度預算數係圖書借閱逾期及
廠商違約逾期交貨等賠償收入。"
2,6,,,0403100000,主計處,-,-,93 ,-,
2,6,1,,0403100300,賠償收入,-,-,93 ,-,
2,6,1,1,0403100301,一般賠償收入,-,-,93 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,7,,,0403110000,主計處電子處理資料中心,-,-,2 ,-,
2,7,1,,0403110300,賠償收入,-,-,2 ,-,
2,7,1,1,0403110301,一般賠償收入,-,-,2 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,8,,,0403200000,新聞局,"2,935 ","4,500 ","16,552 ","-1,565 ",
2,8,1,,0403200100,罰金罰鍰及怠金,935 ,"2,000 ","13,607 ","-1,065 ",
2,8,1,1,0403200101,罰金罰鍰,935 ,"2,000 ","13,607 ","-1,065 ","本年度預算數係取締非法錄影節
目帶、違映電影及核處違映大陸
地區廣電節目之罰款收入。"
2,8,2,,0403200300,賠償收入,"2,000 ","2,500 ","2,945 ",-500 ,
2,8,2,1,0403200301,一般賠償收入,"2,000 ","2,500 ","2,945 ",-500 ,"本年度預算數係廠商違約逾期交
貨之賠償收入。"
2,9,,,0403300000,人事行政局,-,-,"2,012 ",-,
2,9,1,,0403300200,沒入及沒收財物,-,-,889 ,-,
2,9,1,1,0403300201,沒入金,-,-,889 ,-,"前年度決算數係廠商違約沒入押
標金及履約保證金收入。"
2,9,2,,0403300300,賠償收入,-,-,"1,122 ",-,
2,9,2,1,0403300301,一般賠償收入,-,-,"1,122 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,10,,,0403310000,公務人力發展中心,-,-,15 ,-,
2,10,1,,0403310300,賠償收入,-,-,15 ,-,
2,10,1,1,0403310301,一般賠償收入,-,-,15 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,11,,,0403320000,公務人員住宅及福利委員會,-,-,21 ,-,
2,11,1,,0403320300,賠償收入,-,-,21 ,-,
2,11,1,1,0403320301,一般賠償收入,-,-,21 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,12,,,0403330000,地方行政研習中心,-,-,15 ,-,
2,12,1,,0403330300,賠償收入,-,-,15 ,-,
2,12,1,1,0403330301,一般賠償收入,-,-,15 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,13,,,0403400000,國立故宮博物院,100 ,100 ,"1,234 ",0 ,
2,13,1,,0403400300,賠償收入,100 ,100 ,"1,234 ",0 ,
2,13,1,1,0403400301,一般賠償收入,100 ,100 ,"1,234 ",0 ,"本年度預算數係廠商違約逾期交
貨之賠償收入。"
2,14,,,0403500000,經濟建設委員會,-,-,393 ,-,
2,14,1,,0403500300,賠償收入,-,-,393 ,-,
2,14,1,1,0403500301,一般賠償收入,-,-,393 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,15,,,0403520000,銀行局,-,-,1 ,-,
2,15,1,,0403520300,賠償收入,-,-,1 ,-,
2,15,1,1,0403520301,一般賠償收入,-,-,1 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,16,,,0403600000,中央選舉委員會及所屬,416 ,"1,155 ","4,727 ",-739 ,
2,16,1,,0403600100,罰金罰鍰及怠金,416 ,"1,155 ","3,477 ",-739 ,
2,16,1,1,0403600101,罰金罰鍰,416 ,"1,155 ","3,477 ",-739 ,"本年度預算數係違反公職人員選
舉罷免法之罰款收入。"
2,16,2,,0403600200,沒入及沒收財物,-,-,"1,200 ",-,
2,16,2,1,0403600201,沒入金,-,-,"1,200 ",-,"前年度決算數係沒入得票不足之
候選人保證金收入。"
2,16,3,,0403600300,賠償收入,-,-,49 ,-,
2,16,3,1,0403600301,一般賠償收入,-,-,49 ,-,"前年度決算數係廠商未履行合約
之罰款收入。"
2,17,,,0403700000,文化建設委員會及所屬,500 ,-,"11,671 ",500 ,
2,17,1,,0403700100,罰金罰鍰及怠金,500 ,-,-,500 ,
2,17,1,1,0403700101,罰金罰鍰,500 ,-,-,500 ,"本年度預算數係公有建築物未依
文化藝術獎助條例規定設置公共
藝術之罰款收入。"
2,17,2,,0403700300,賠償收入,-,-,"11,670 ",-,
2,17,2,1,0403700301,一般賠償收入,-,-,"11,670 ",-,"前年度決算數係廠商逾期交貨之
賠償收入。"
2,18,,,0403750000,青年輔導委員會及所屬,-,-,396 ,-,
2,18,1,,0403750300,賠償收入,-,-,396 ,-,
2,18,1,1,0403750301,一般賠償收入,-,-,396 ,-,"前年度決算數係廠商違約逾期交
貨及退訓學員之賠償收入。"
2,19,,,0403800000,研究發展考核委員會,-,-,334 ,-,
2,19,1,,0403800300,賠償收入,-,-,334 ,-,
2,19,1,1,0403800301,一般賠償收入,-,-,334 ,-,"前年度決算數係採購案廠商違約
逾期交貨之賠償收入。"
2,20,,,0403810000,檔案管理局,94 ,-,650 ,94 ,
2,20,1,,0403810300,賠償收入,94 ,-,650 ,94 ,
2,20,1,1,0403810301,一般賠償收入,94 ,-,650 ,94 ,"本年度預算數係廠商違約逾期交
貨之賠償收入。"
2,21,,,0403850000,國家通訊傳播委員會,"66,038 ","66,038 ","82,795 ",0 ,
2,21,1,,0403850100,罰金罰鍰及怠金,"66,038 ","66,038 ","82,741 ",0 ,
2,21,1,1,0403850101,罰金罰鍰,"66,038 ","66,038 ","73,991 ",0 ,"本年度預算數係通訊傳播業者違
反電信及廣播電視相關法規之罰
款收入。"
2,21,1,2,0403850102,怠金,-,-,"8,750 ",-,"前年度決算數係部分電信業者延
遲繳納行動電話特許費等收入之
滯納金及利息。"
2,21,2,,0403850200,沒入及沒收財物,-,-,39 ,-,
2,21,2,1,0403850202,沒收物變價,-,-,39 ,-,"前年度決算數係依電信法處分沒
入電信器材之變價收入。"
2,21,3,,0403850300,賠償收入,-,-,15 ,-,
2,21,3,1,0403850301,一般賠償收入,-,-,15 ,-,"前年度決算數係業者租用屋頂平
台架設基地台，因提前退租之賠
償收入。"
2,22,,,0403900000,大陸委員會,-,-,58 ,-,
2,22,1,,0403900300,賠償收入,-,-,58 ,-,
2,22,1,1,0403900301,一般賠償收入,-,-,58 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,23,,,0403920000,公平交易委員會,"199,840 ","193,750 ","425,766 ","6,090 ",
2,23,1,,0403920100,罰金罰鍰及怠金,"199,840 ","193,750 ","425,766 ","6,090 ",
2,23,1,1,0403920101,罰金罰鍰,"199,840 ","193,750 ","425,766 ","6,090 ","本年度預算數係事業機構違反公
平交易法規之罰款收入。"
2,24,,,0403950000,公共工程委員會,300 ,300 ,"1,554 ",0 ,
2,24,1,,0403950100,罰金罰鍰及怠金,300 ,300 ,"1,340 ",0 ,
2,24,1,1,0403950101,罰金罰鍰,300 ,300 ,"1,340 ",0 ,"本年度預算數係違反技師法或工
程技術顧問管理條例之裁罰收入
。"
2,24,2,,0403950300,賠償收入,-,-,214 ,-,
2,24,2,1,0403950301,一般賠償收入,-,-,214 ,-,"前年度決算數係廠商違約逾期交
貨等賠償收入。"
2,25,,,0403970000,原住民族委員會,-,-,"3,524 ",-,
2,25,1,,0403970300,賠償收入,-,-,"3,524 ",-,
2,25,1,1,0403970301,一般賠償收入,-,-,"3,524 ",-,"前年度決算數係廠商違約逾期交
貨等賠償收入。"
2,26,,,0403960000,文化園區管理局,-,-,204 ,-,
2,26,1,,0403960300,賠償收入,-,-,204 ,-,
2,26,1,1,0403960301,一般賠償收入,-,-,204 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,27,,,0403980000,體育委員會及所屬,-,-,"10,581 ",-,
2,27,1,,0403980200,沒入及沒收財物,-,-,"6,300 ",-,
2,27,1,1,0403980201,沒入金,-,-,"6,300 ",-,"前年度決算數係廠商違約沒入履
約保證金之收入。"
2,27,2,,0403980300,賠償收入,-,-,"4,281 ",-,
2,27,2,1,0403980301,一般賠償收入,-,-,"4,281 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,28,,,0403990000,客家委員會及所屬,-,-,"1,453 ",-,
2,28,1,,0403990300,賠償收入,-,-,"1,453 ",-,
2,28,1,1,0403990301,一般賠償收入,-,-,"1,453 ",-,"前年度決算數係廠商違約逾期完
工等賠償收入。"
2,29,,,0404010000,立法院,-,-,"1,238 ",-,
2,29,1,,0404010300,賠償收入,-,-,"1,238 ",-,
2,29,1,1,0404010301,一般賠償收入,-,-,"1,238 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,30,,,0405010000,司法院,-,-,22 ,-,
2,30,1,,0405010300,賠償收入,-,-,22 ,-,
2,30,1,1,0405010301,一般賠償收入,-,-,22 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,31,,,0405120000,臺中高等行政法院,-,-,1 ,-,
2,31,1,,0405120300,賠償收入,-,-,1 ,-,
2,31,1,1,0405120301,一般賠償收入,-,-,1 ,-,"前年度決算數係員工遺失無線電
收發信機之賠償收入。"
2,32,,,0405200000,公務員懲戒委員會,-,-,15 ,-,
2,32,1,,0405200300,賠償收入,-,-,15 ,-,
2,32,1,1,0405200301,一般賠償收入,-,-,15 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,33,,,0405250000,司法人員研習所,-,-,23 ,-,
2,33,1,,0405250300,賠償收入,-,-,23 ,-,
2,33,1,1,0405250301,一般賠償收入,-,-,23 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,34,,,0405260000,智慧財產法院,-,-,46 ,-,
2,34,1,,0405260300,賠償收入,-,-,46 ,-,
2,34,1,1,0405260301,一般賠償收入,-,-,46 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,35,,,0405300000,臺灣高等法院,"2,246 ","2,448 ","2,180 ",-202 ,
2,35,1,,0405300100,罰金罰鍰及怠金,86 ,125 ,200 ,-39 ,
2,35,1,1,0405300101,罰金罰鍰,86 ,125 ,200 ,-39 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,35,2,,0405300200,沒入及沒收財物,"2,160 ","2,323 ","1,940 ",-163 ,
2,35,2,1,0405300201,沒入金,"2,160 ","2,323 ","1,940 ",-163 ,"本年度預算數係沒入刑事保證金
等收入。"
2,35,3,,0405300300,賠償收入,-,-,40 ,-,
2,35,3,1,0405300301,一般賠償收入,-,-,4 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,35,3,2,0405300302,賠償求償收入,-,-,36 ,-,"前年度決算數係所屬法院對其他
機關業務承辦人重大過失行使求
償之收入。"
2,36,,,0405310000,臺灣高等法院臺中分院,700 ,300 ,830 ,400 ,
2,36,1,,0405310100,罰金罰鍰及怠金,20 ,20 ,30 ,0 ,
2,36,1,1,0405310101,罰金罰鍰,20 ,20 ,30 ,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,36,2,,0405310200,沒入及沒收財物,680 ,280 ,800 ,400 ,
2,36,2,1,0405310201,沒入金,680 ,280 ,800 ,400 ,"本年度預算數係沒入刑事保證金
等收入。"
2,37,,,0405320000,臺灣高等法院臺南分院,300 ,480 ,300 ,-180 ,
2,37,1,,0405320200,沒入及沒收財物,300 ,480 ,300 ,-180 ,
2,37,1,1,0405320201,沒入金,300 ,480 ,300 ,-180 ,"本年度預算數係沒入刑事保證金
等收入。"
2,38,,,0405330000,臺灣高等法院高雄分院,310 ,170 ,"1,407 ",140 ,
2,38,1,,0405330100,罰金罰鍰及怠金,10 ,10 ,10 ,0 ,
2,38,1,1,0405330101,罰金罰鍰,10 ,10 ,10 ,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,38,2,,0405330200,沒入及沒收財物,300 ,160 ,"1,390 ",140 ,
2,38,2,1,0405330201,沒入金,300 ,160 ,"1,390 ",140 ,"本年度預算數係沒入刑事保證金
等收入。"
2,38,3,,0405330300,賠償收入,-,-,7 ,-,
2,38,3,1,0405330301,一般賠償收入,-,-,7 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,39,,,0405340000,臺灣高等法院花蓮分院,110 ,110 ,182 ,0 ,
2,39,1,,0405340100,罰金罰鍰及怠金,10 ,10 ,-,0 ,
2,39,1,1,0405340101,罰金罰鍰,10 ,10 ,-,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,39,2,,0405340200,沒入及沒收財物,100 ,100 ,174 ,0 ,
2,39,2,1,0405340201,沒入金,100 ,100 ,174 ,0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,39,3,,0405340300,賠償收入,-,-,9 ,-,
2,39,3,1,0405340301,一般賠償收入,-,-,9 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,40,,,0405410000,臺灣臺北地方法院,"19,330 ","19,300 ","20,297 ",30 ,
2,40,1,,0405410100,罰金罰鍰及怠金,230 ,200 ,207 ,30 ,
2,40,1,1,0405410101,罰金罰鍰,230 ,200 ,207 ,30 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,40,2,,0405410200,沒入及沒收財物,"19,100 ","19,100 ","20,046 ",0 ,
2,40,2,1,0405410201,沒入金,"19,100 ","19,100 ","20,046 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,40,3,,0405410300,賠償收入,-,-,44 ,-,
2,40,3,1,0405410301,一般賠償收入,-,-,44 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,41,,,0405420000,臺灣士林地方法院,"6,134 ","3,985 ","5,518 ","2,149 ",
2,41,1,,0405420100,罰金罰鍰及怠金,45 ,45 ,6 ,0 ,
2,41,1,1,0405420101,罰金罰鍰,45 ,45 ,6 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,41,2,,0405420200,沒入及沒收財物,"6,089 ","3,940 ","5,512 ","2,149 ",
2,41,2,1,0405420201,沒入金,"6,089 ","3,940 ","5,512 ","2,149 ","本年度預算數係沒入刑事保證金
等收入。"
2,42,,,0405430000,臺灣板橋地方法院,"10,938 ","10,368 ","9,425 ",570 ,
2,42,1,,0405430100,罰金罰鍰及怠金,38 ,24 ,45 ,14 ,
2,42,1,1,0405430101,罰金罰鍰,38 ,24 ,45 ,14 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,42,2,,0405430200,沒入及沒收財物,"10,900 ","10,344 ","9,380 ",556 ,
2,42,2,1,0405430201,沒入金,"10,900 ","10,344 ","9,380 ",556 ,"本年度預算數係沒入刑事保證金
等收入。"
2,43,,,0405470000,臺灣桃園地方法院,"8,251 ","8,220 ","13,657 ",31 ,
2,43,1,,0405470100,罰金罰鍰及怠金,20 ,20 ,10 ,0 ,
2,43,1,1,0405470101,罰金罰鍰,20 ,20 ,10 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,43,2,,0405470200,沒入及沒收財物,"8,231 ","8,200 ","13,647 ",31 ,
2,43,2,1,0405470201,沒入金,"8,231 ","8,200 ","13,647 ",31 ,"本年度預算數係沒入刑事保證金
等收入。"
2,44,,,0405480000,臺灣新竹地方法院,"1,362 ","2,124 ","1,242 ",-762 ,
2,44,1,,0405480100,罰金罰鍰及怠金,12 ,9 ,-,3 ,
2,44,1,1,0405480101,罰金罰鍰,12 ,9 ,-,3 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,44,2,,0405480200,沒入及沒收財物,"1,350 ","2,115 ","1,242 ",-765 ,
2,44,2,1,0405480201,沒入金,"1,350 ","2,115 ","1,242 ",-765 ,"本年度預算數係沒入刑事保證金
等收入。"
2,45,,,0405490000,臺灣苗栗地方法院,"2,038 ","1,336 ","1,682 ",702 ,
2,45,1,,0405490100,罰金罰鍰及怠金,38 ,36 ,16 ,2 ,
2,45,1,1,0405490101,罰金罰鍰,38 ,36 ,16 ,2 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,45,2,,0405490200,沒入及沒收財物,"2,000 ","1,300 ","1,665 ",700 ,
2,45,2,1,0405490201,沒入金,"2,000 ","1,300 ","1,665 ",700 ,"本年度預算數係沒入刑事保證金
等收入。"
2,46,,,0405500000,臺灣臺中地方法院,"20,300 ","20,300 ","15,553 ",0 ,
2,46,1,,0405500100,罰金罰鍰及怠金,300 ,300 ,364 ,0 ,
2,46,1,1,0405500101,罰金罰鍰,300 ,300 ,364 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,46,2,,0405500200,沒入及沒收財物,"20,000 ","20,000 ","15,189 ",0 ,
2,46,2,1,0405500201,沒入金,"20,000 ","20,000 ","15,189 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,47,,,0405510000,臺灣南投地方法院,"1,020 ","1,220 ",725 ,-200 ,
2,47,1,,0405510100,罰金罰鍰及怠金,20 ,20 ,15 ,0 ,
2,47,1,1,0405510101,罰金罰鍰,20 ,20 ,15 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,47,2,,0405510200,沒入及沒收財物,"1,000 ","1,200 ",710 ,-200 ,
2,47,2,1,0405510201,沒入金,"1,000 ","1,200 ",710 ,-200 ,"本年度預算數係沒入刑事保證金
等收入。"
2,48,,,0405520000,臺灣彰化地方法院,"3,960 ","2,850 ","3,997 ","1,110 ",
2,48,1,,0405520100,罰金罰鍰及怠金,50 ,50 ,40 ,0 ,
2,48,1,1,0405520101,罰金罰鍰,50 ,50 ,40 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,48,2,,0405520200,沒入及沒收財物,"3,910 ","2,800 ","3,957 ","1,110 ",
2,48,2,1,0405520201,沒入金,"3,910 ","2,800 ","3,957 ","1,110 ","本年度預算數係沒入刑事保證金
等收入。"
2,49,,,0405530000,臺灣雲林地方法院,"3,408 ","3,208 ","3,425 ",200 ,
2,49,1,,0405530100,罰金罰鍰及怠金,8 ,8 ,5 ,0 ,
2,49,1,1,0405530101,罰金罰鍰,8 ,8 ,5 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,49,2,,0405530200,沒入及沒收財物,"3,400 ","3,200 ","3,420 ",200 ,
2,49,2,1,0405530201,沒入金,"3,400 ","3,200 ","3,420 ",200 ,"本年度預算數係沒入刑事保證金
等收入。"
2,50,,,0405540000,臺灣嘉義地方法院,"1,530 ","2,606 ","1,816 ","-1,076 ",
2,50,1,,0405540100,罰金罰鍰及怠金,30 ,6 ,337 ,24 ,
2,50,1,1,0405540101,罰金罰鍰,30 ,6 ,337 ,24 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,50,2,,0405540200,沒入及沒收財物,"1,500 ","2,600 ","1,480 ","-1,100 ",
2,50,2,1,0405540201,沒入金,"1,500 ","2,600 ","1,480 ","-1,100 ","本年度預算數係沒入刑事保證金
等收入。"
2,51,,,0405560000,臺灣臺南地方法院,"6,040 ","6,624 ","5,907 ",-584 ,
2,51,1,,0405560100,罰金罰鍰及怠金,40 ,14 ,36 ,26 ,
2,51,1,1,0405560101,罰金罰鍰,40 ,14 ,36 ,26 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,51,2,,0405560200,沒入及沒收財物,"6,000 ","6,610 ","5,871 ",-610 ,
2,51,2,1,0405560201,沒入金,"6,000 ","6,610 ","5,871 ",-610 ,"本年度預算數係沒入刑事保證金
等收入。"
2,52,,,0405580000,臺灣高雄地方法院,"13,168 ","11,328 ","19,476 ","1,840 ",
2,52,1,,0405580200,沒入及沒收財物,"13,168 ","11,328 ","11,255 ","1,840 ",
2,52,1,1,0405580201,沒入金,"13,168 ","11,328 ","11,255 ","1,840 ","本年度預算數係沒入刑事保證金
等收入。"
2,52,2,,0405580300,賠償收入,-,-,"8,221 ",-,
2,52,2,1,0405580301,一般賠償收入,-,-,"8,221 ",-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,53,,,0405590000,臺灣屏東地方法院,"3,110 ","2,510 ","2,940 ",600 ,
2,53,1,,0405590100,罰金罰鍰及怠金,10 ,10 ,30 ,0 ,
2,53,1,1,0405590101,罰金罰鍰,10 ,10 ,30 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,53,2,,0405590200,沒入及沒收財物,"3,100 ","2,500 ","2,910 ",600 ,
2,53,2,1,0405590201,沒入金,"3,100 ","2,500 ","2,910 ",600 ,"本年度預算數係沒入刑事保證金
等收入。"
2,54,,,0405600000,臺灣臺東地方法院,310 ,260 ,"1,113 ",50 ,
2,54,1,,0405600100,罰金罰鍰及怠金,10 ,10 ,-,0 ,
2,54,1,1,0405600101,罰金罰鍰,10 ,10 ,-,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,54,2,,0405600200,沒入及沒收財物,300 ,250 ,"1,110 ",50 ,
2,54,2,1,0405600201,沒入金,300 ,250 ,"1,110 ",50 ,"本年度預算數係沒入刑事保證金
等收入。"
2,54,3,,0405600300,賠償收入,-,-,3 ,-,
2,54,3,1,0405600301,一般賠償收入,-,-,3 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,55,,,0405610000,臺灣花蓮地方法院,410 ,610 ,391 ,-200 ,
