款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,說明
,,,,,合          計,"1,705,207,932 ","1,620,297,289 ","1,635,461,617 ","84,910,643 ",
1,,,,0100000000,稅課收入,"1,298,135,000 ","1,229,260,973 ","1,208,698,505 ","68,874,027 ",
1,1,,,0117010000,財政部,"1,298,135,000 ","1,229,260,973 ","1,208,698,226 ","68,874,027 ",
1,1,1,,0117010100,所得稅,"740,974,000 ","676,857,973 ","657,143,834 ","64,116,027 ",
1,1,1,1,0117010101,營利事業所得稅,"385,675,000 ","348,082,973 ","344,370,142 ","37,592,027 ","估計本年度收入如列數，其中臺
北市國稅局為170,639,778千元
，高雄市國稅局為36,168,000千
元，臺灣省北區國稅局為124,53
0,000千元，臺灣省中區國稅局
為61,194,000千元，臺灣省南區
國稅局為35,996,000千元，合共
428,527,778千元，按90%計列38
5,675,000千元。"
1,1,1,2,0117010102,綜合所得稅,"355,299,000 ","328,775,000 ","312,773,692 ","26,524,000 ","估計本年度收入如列數，其中臺
北市國稅局為212,889,666千元
，高雄市國稅局為23,554,000千
元，臺灣省北區國稅局為105,41
0,000千元，臺灣省中區國稅局
為30,593,000千元，臺灣省南區
國稅局為22,330,000千元，合共
394,776,666千元，按90%計列35
5,299,000千元。"
1,1,2,,0117010200,遺產及贈與稅,"6,000,000 ","5,500,000 ","9,941,996 ","500,000 ",
1,1,2,1,0117010201,遺產稅,"4,800,000 ","4,400,000 ","7,634,515 ","400,000 ","估計本年度收入如列數，其中臺
北市國稅局為5,920,000千元，
按50%計列2,960,000千元，高雄
市國稅局為880,000千元，按50%
計列440,000千元；臺灣省北區
國稅局為3,600,000千元，臺灣
省中區國稅局為2,000,000千元
，臺灣省南區國稅局為1,400,00
0千元，合共7,000,000千元，按
20%計列1,400,000千元。"
1,1,2,2,0117010202,贈與稅,"1,200,000 ","1,100,000 ","2,307,481 ","100,000 ","估計本年度收入如列數，其中臺
北市國稅局為1,480,000千元，
按50%計列740,000千元，高雄市
國稅局為220,000千元，按50%計
列110,000千元；臺灣省北區國
稅局為900,000千元，臺灣省中
區國稅局為500,000千元，臺灣
省南區國稅局為350,000千元，
合共1,750,000千元，按20%計列
350,000千元。"
1,1,3,,0117010300,關稅,"84,000,000 ","83,500,000 ","81,859,070 ","500,000 ",估計本年度收入如列數。
1,1,4,,0117010400,貨物稅,"128,565,000 ","136,346,000 ","134,133,050 ","-7,781,000 ","估計本年度收入如列數，其中臺
北市國稅局為14,000千元，高雄
市國稅局為44,826,000千元，臺
灣省北區國稅局為65,912,000千
元，臺灣省中區國稅局為28,141
,000千元，臺灣省南區國稅局為
3,957,000千元，合共142,850,0
00千元，按90%計列128,565,000
千元。"
1,1,5,,0117010500,證券交易稅,"122,000,000 ","121,700,000 ","128,894,627 ","300,000 ","估計本年度收入如列數，其中臺
北市國稅局為71,495,000千元，
高雄市國稅局為6,576,000千元
，臺灣省北區國稅局為21,382,0
00千元，臺灣省中區國稅局為13
,102,000千元，臺灣省南區國稅
局為9,445,000千元。"
1,1,6,,0117010800,期貨交易稅,"5,000,000 ","4,675,000 ","5,757,834 ","325,000 ","估計本年度收入如列數，其中臺
北市國稅局為4,505,000千元，
高雄市國稅局為169,000千元，
臺灣省北區國稅局為81,000千元
，臺灣省中區國稅局為211,000
千元，臺灣省南區國稅局為34,0
00千元。"
1,1,7,,0117010900,菸酒稅,"43,000,000 ","42,700,000 ","40,332,151 ","300,000 ","估計本年度收入如列數，其中臺
北市國稅局為25,000千元，高雄
市國稅局為4,062,000千元，臺
灣省北區國稅局為30,330,000千
元，臺灣省中區國稅局為10,396
,000千元，臺灣省南區國稅局為
8,937,000千元，合共53,750,00
0千元，按80%計列43,000,000千
元。"
1,1,8,,0117011100,營業稅,"168,596,000 ","157,982,000 ","150,635,664 ","10,614,000 ","估計本年度營業稅收入275,483,
660千元，依加值型及非加值型
營業稅法第58條規定，提撥統一
發票獎金之經費外，另按餘數提
列60%計160,331,490千元，合共
如列數，其中臺北市國稅局為96
,227,000千元，高雄市國稅局為
9,539,000千元，臺灣省北區國
稅局為23,853,000千元，臺灣省
中區國稅局為26,612,000千元，
臺灣省南區國稅局為12,365,000
千元。"
1,2,,,0126010000,經濟部,-,-,279 ,-,
1,2,1,,0126010600,礦區稅,-,-,279 ,-,"前年度決算數係開徵礦區稅及追
繳以前各期欠稅等收入。"
2,,,,0400000000,罰款及賠償收入,"22,365,165 ","21,670,647 ","23,562,296 ","694,518 ",
2,1,,,0402010000,總統府,-,-,"4,435 ",-,
2,1,1,,0402010300,賠償收入,-,-,"4,435 ",-,
2,1,1,1,0402010301,一般賠償收入,-,-,"4,435 ",-,"前年度決算數係眷舍拆遷等補償
費收入。"
2,2,,,0402310000,國史館臺灣文獻館,-,-,77 ,-,
2,2,1,,0402310300,賠償收入,-,-,77 ,-,
2,2,1,1,0402310301,一般賠償收入,-,-,77 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,3,,,0402400000,中央研究院,"2,500 ","2,500 ","3,141 ",0 ,
