款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,說明
1,1,8,,0117011100,營業稅,"181,179,000 ","164,147,000 ","164,146,754 ","17,032,000 ","估計本年度營業稅收入296,044,
118千元，依加值型及非加值型
營業稅法第58條規定，提撥統一
發票獎金之經費8,881,324千元
外，另按餘數提列60%計172,297
,676千元，合共如列數，其中臺
北市國稅局為106,273,000千元
，高雄市國稅局為13,805,000千
元，臺灣省北區國稅局為25,759
,000千元，臺灣省中區國稅局為
26,929,000千元，臺灣省南區國
稅局為8,413,000千元。"
1,2,,,0126010000,經濟部,-,-,11 ,-,
1,2,1,,0126010600,礦區稅,-,-,11 ,-,"前年度決算數係追繳以前各期欠
稅收入。"
2,,,,0400000000,罰款及賠償收入,"50,947,242 ","24,875,107 ","25,682,079 ","26,072,135 ",
2,1,,,0402010000,總統府,-,-,11 ,-,
2,1,1,,0402010300,賠償收入,-,-,11 ,-,
2,1,1,1,0402010301,一般賠償收入,-,-,11 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,2,,,0402300000,國史館,-,-,129 ,-,
2,2,1,,0402300300,賠償收入,-,-,129 ,-,
2,2,1,1,0402300301,一般賠償收入,-,-,129 ,-,"前年度決算數係廠商逾期完工之
賠償收入。"
2,3,,,0402310000,國史館臺灣文獻館,-,-,18 ,-,
2,3,1,,0402310300,賠償收入,-,-,18 ,-,
2,3,1,1,0402310301,一般賠償收入,-,-,18 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,4,,,0402400000,中央研究院,"6,000 ","3,000 ","4,410 ","3,000 ",
2,4,1,,0402400300,賠償收入,"6,000 ","3,000 ","4,410 ","3,000 ",
2,4,1,1,0402400301,一般賠償收入,"6,000 ","3,000 ","4,410 ","3,000 ","本年度預算數係圖書借閱逾期及
廠商違約逾期交貨等賠償收入。"
2,5,,,0403010000,行政院,-,-,435 ,-,
2,5,1,,0403010300,賠償收入,-,-,435 ,-,
2,5,1,1,0403010301,一般賠償收入,-,-,435 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入等。"
2,6,,,0403100000,主計處,-,-,366 ,-,
2,6,1,,0403100300,賠償收入,-,-,366 ,-,
2,6,1,1,0403100301,一般賠償收入,-,-,366 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,7,,,0403110000,主計處電子處理資料中心,-,-,23 ,-,
2,7,1,,0403110300,賠償收入,-,-,23 ,-,
2,7,1,1,0403110301,一般賠償收入,-,-,23 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,8,,,0403200000,新聞局,"3,183 ","3,935 ","17,912 ",-752 ,
2,8,1,,0403200100,罰金罰鍰及怠金,"1,076 ","1,935 ","15,804 ",-859 ,
2,8,1,1,0403200101,罰金罰鍰,"1,076 ","1,935 ","15,804 ",-859 ,"本年度預算數係取締非法提供節
目與廣告、非法錄影節目帶及核
處違映大陸地區廣電節目之罰款
收入。"
2,8,2,,0403200300,賠償收入,"2,107 ","2,000 ","2,108 ",107 ,
2,8,2,1,0403200301,一般賠償收入,"2,107 ","2,000 ","2,108 ",107 ,"本年度預算數係廠商違約逾期交
貨之賠償收入。"
2,9,,,0403300000,人事行政局,-,-,"1,969 ",-,
2,9,1,,0403300300,賠償收入,-,-,"1,969 ",-,
2,9,1,1,0403300301,一般賠償收入,-,-,"1,969 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,10,,,0403310000,公務人力發展中心,-,-,140 ,-,
2,10,1,,0403310200,沒入及沒收財物,-,-,40 ,-,
2,10,1,1,0403310201,沒入金,-,-,40 ,-,"前年度決算數係廠商違約沒入履
約保證金收入。"
2,10,2,,0403310300,賠償收入,-,-,100 ,-,
2,10,2,1,0403310301,一般賠償收入,-,-,100 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,11,,,0403320000,公務人員住宅及福利委員會,-,-,30 ,-,
2,11,1,,0403320300,賠償收入,-,-,30 ,-,
2,11,1,1,0403320301,一般賠償收入,-,-,30 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,12,,,0403330000,地方行政研習中心,-,-,8 ,-,
2,12,1,,0403330300,賠償收入,-,-,8 ,-,
2,12,1,1,0403330301,一般賠償收入,-,-,8 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,13,,,0403400000,國立故宮博物院,100 ,100 ,"1,100 ",0 ,
2,13,1,,0403400300,賠償收入,100 ,100 ,"1,100 ",0 ,
2,13,1,1,0403400301,一般賠償收入,100 ,100 ,"1,100 ",0 ,"本年度預算數係廠商違約逾期交
貨之賠償收入。"
2,14,,,0403500000,經濟建設委員會,-,-,509 ,-,
2,14,1,,0403500300,賠償收入,-,-,509 ,-,
2,14,1,1,0403500301,一般賠償收入,-,-,509 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,15,,,0403520000,銀行局,-,-,2 ,-,
2,15,1,,0403520300,賠償收入,-,-,2 ,-,
2,15,1,1,0403520301,一般賠償收入,-,-,2 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,16,,,0403600000,中央選舉委員會及所屬,"40,210 ",416 ,"5,685 ","39,794 ",
2,16,1,,0403600100,罰金罰鍰及怠金,810 ,416 ,"4,684 ",394 ,
2,16,1,1,0403600101,罰金罰鍰,810 ,416 ,"4,684 ",394 ,"本年度預算數係違反總統副總統
、公職人員選舉罷免法之罰款收
入。"
2,16,2,,0403600200,沒入及沒收財物,"39,400 ",-,"1,000 ","39,400 ",
2,16,2,1,0403600201,沒入金,"39,400 ",-,"1,000 ","39,400 ","本年度預算數係沒入得票不足之
候選人保證金收入。"
2,16,3,,0403600300,賠償收入,-,-,2 ,-,
2,16,3,1,0403600301,一般賠償收入,-,-,2 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,17,,,0403700000,文化建設委員會及所屬,"1,000 ","1,000 ","31,823 ",0 ,
2,17,1,,0403700100,罰金罰鍰及怠金,"1,000 ","1,000 ",10 ,0 ,
2,17,1,1,0403700101,罰金罰鍰,"1,000 ","1,000 ",10 ,0 ,"本年度預算數係公有建築物未依
文化藝術獎助條例規定設置公共
藝術之罰款收入。"
2,17,2,,0403700300,賠償收入,-,-,"31,813 ",-,
2,17,2,1,0403700301,一般賠償收入,-,-,"31,813 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,18,,,0403750000,青年輔導委員會及所屬,-,-,858 ,-,
2,18,1,,0403750300,賠償收入,-,-,858 ,-,
2,18,1,1,0403750301,一般賠償收入,-,-,858 ,-,"前年度決算數係廠商違約逾期交
貨及退訓學員之賠償收入。"
2,19,,,0403800000,研究發展考核委員會,-,-,"1,563 ",-,
2,19,1,,0403800300,賠償收入,-,-,"1,563 ",-,
2,19,1,1,0403800301,一般賠償收入,-,-,"1,563 ",-,"前年度決算數係採購案廠商違約
逾期交貨之賠償收入。"
2,20,,,0403810000,檔案管理局,94 ,94 ,202 ,0 ,
2,20,1,,0403810300,賠償收入,94 ,94 ,202 ,0 ,
2,20,1,1,0403810301,一般賠償收入,94 ,94 ,202 ,0 ,"本年度預算數係廠商違約逾期交
貨之賠償收入。"
2,21,,,0403850000,國家通訊傳播委員會,"66,038 ","66,038 ","169,724 ",0 ,
2,21,1,,0403850100,罰金罰鍰及怠金,"66,038 ","66,038 ","145,945 ",0 ,
2,21,1,1,0403850101,罰金罰鍰,"66,038 ","66,038 ","145,738 ",0 ,"本年度預算數係通訊傳播業者違
反電信及廣播電視相關法規之罰
款收入。"
2,21,1,2,0403850102,怠金,-,-,207 ,-,"前年度決算數係部分電信業者延
遲繳納行動電話特許費等收入之
滯納金及利息。"
2,21,2,,0403850200,沒入及沒收財物,-,-,45 ,-,
2,21,2,1,0403850202,沒收物變價,-,-,45 ,-,"前年度決算數係依電信法處分沒
入電信器材之變價收入。"
2,21,3,,0403850300,賠償收入,-,-,"23,733 ",-,
2,21,3,1,0403850301,一般賠償收入,-,-,"23,733 ",-,"前年度決算數係承接交通部電信
總局與中華郵政股份有限公司持
分共有之遭占用國有土地，占用
人之賠償收入。"
2,22,,,0403900000,大陸委員會,-,-,26 ,-,
2,22,1,,0403900300,賠償收入,-,-,26 ,-,
2,22,1,1,0403900301,一般賠償收入,-,-,26 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,23,,,0403920000,公平交易委員會,"160,860 ","201,840 ","66,422 ","-40,980 ",
2,23,1,,0403920100,罰金罰鍰及怠金,"160,860 ","201,840 ","66,354 ","-40,980 ",
2,23,1,1,0403920101,罰金罰鍰,"160,860 ","201,840 ","66,354 ","-40,980 ","本年度預算數係事業機構違反公
平交易法規之罰款收入。"
2,23,2,,0403920300,賠償收入,-,-,68 ,-,
2,23,2,1,0403920301,一般賠償收入,-,-,68 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,24,,,0403950000,公共工程委員會,300 ,"1,300 ",687 ,"-1,000 ",
2,24,1,,0403950100,罰金罰鍰及怠金,300 ,"1,300 ",540 ,"-1,000 ",
2,24,1,1,0403950101,罰金罰鍰,300 ,"1,300 ",540 ,"-1,000 ","本年度預算數係違反技師法或工
程技術顧問管理條例之裁罰收入
。"
2,24,2,,0403950300,賠償收入,-,-,147 ,-,
2,24,2,1,0403950301,一般賠償收入,-,-,147 ,-,"前年度決算數係廠商違約逾期交
貨等賠償收入。"
2,25,,,0403970000,原住民族委員會,-,-,"4,333 ",-,
2,25,1,,0403970300,賠償收入,-,-,"4,333 ",-,
2,25,1,1,0403970301,一般賠償收入,-,-,"4,333 ",-,"前年度決算數係廠商違約逾期交
貨等賠償收入。"
2,26,,,0403960000,文化園區管理局,-,-,539 ,-,
2,26,1,,0403960300,賠償收入,-,-,539 ,-,
2,26,1,1,0403960301,一般賠償收入,-,-,539 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,27,,,0403980000,體育委員會,-,-,"4,313 ",-,
2,27,1,,0403980300,賠償收入,-,-,"4,313 ",-,
2,27,1,1,0403980301,一般賠償收入,-,-,"4,313 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,28,,,0403990000,客家委員會及所屬,-,-,"11,874 ",-,
2,28,1,,0403990300,賠償收入,-,-,"11,874 ",-,
2,28,1,1,0403990301,一般賠償收入,-,-,"11,874 ",-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,29,,,0404010000,立法院,-,-,474 ,-,
2,29,1,,0404010300,賠償收入,-,-,474 ,-,
2,29,1,1,0404010301,一般賠償收入,-,-,474 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,30,,,0405010000,司法院,-,-,33 ,-,
2,30,1,,0405010300,賠償收入,-,-,33 ,-,
2,30,1,1,0405010301,一般賠償收入,-,-,33 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,31,,,0405100000,最高行政法院,-,-,14 ,-,
2,31,1,,0405100300,賠償收入,-,-,14 ,-,
2,31,1,1,0405100301,一般賠償收入,-,-,14 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,32,,,0405120000,臺中高等行政法院,-,-,1 ,-,
2,32,1,,0405120300,賠償收入,-,-,1 ,-,
2,32,1,1,0405120301,一般賠償收入,-,-,1 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,33,,,0405200000,公務員懲戒委員會,-,-,7 ,-,
2,33,1,,0405200300,賠償收入,-,-,7 ,-,
2,33,1,1,0405200301,一般賠償收入,-,-,7 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,34,,,0405250000,司法人員研習所,-,-,55 ,-,
2,34,1,,0405250300,賠償收入,-,-,55 ,-,
2,34,1,1,0405250301,一般賠償收入,-,-,55 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,35,,,0405260000,智慧財產法院,-,-,2 ,-,
2,35,1,,0405260300,賠償收入,-,-,2 ,-,
2,35,1,1,0405260301,一般賠償收入,-,-,2 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,36,,,0405300000,臺灣高等法院,"5,700 ","2,246 ","4,401 ","3,454 ",
2,36,1,,0405300100,罰金罰鍰及怠金,700 ,86 ,42 ,614 ,
2,36,1,1,0405300101,罰金罰鍰,700 ,86 ,42 ,614 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,36,2,,0405300200,沒入及沒收財物,"5,000 ","2,160 ","4,319 ","2,840 ",
2,36,2,1,0405300201,沒入金,"5,000 ","2,160 ","4,319 ","2,840 ","本年度預算數係沒入刑事保證金
等收入。"
2,36,3,,0405300300,賠償收入,-,-,40 ,-,
2,36,3,1,0405300301,一般賠償收入,-,-,10 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,36,3,2,0405300302,賠償求償收入,-,-,30 ,-,"前年度決算數係所屬法院對其他
機關業務承辦人重大過失行使求
償之收入。"
2,37,,,0405310000,臺灣高等法院臺中分院,780 ,700 ,"1,740 ",80 ,
2,37,1,,0405310100,罰金罰鍰及怠金,20 ,20 ,-,0 ,
2,37,1,1,0405310101,罰金罰鍰,20 ,20 ,-,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,37,2,,0405310200,沒入及沒收財物,760 ,680 ,"1,740 ",80 ,
2,37,2,1,0405310201,沒入金,760 ,680 ,"1,740 ",80 ,"本年度預算數係沒入刑事保證金
等收入。"
2,38,,,0405320000,臺灣高等法院臺南分院,510 ,300 ,158 ,210 ,
2,38,1,,0405320100,罰金罰鍰及怠金,10 ,-,8 ,10 ,
2,38,1,1,0405320101,罰金罰鍰,10 ,-,8 ,10 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,38,2,,0405320200,沒入及沒收財物,500 ,300 ,150 ,200 ,
2,38,2,1,0405320201,沒入金,500 ,300 ,150 ,200 ,"本年度預算數係沒入刑事保證金
等收入。"
2,39,,,0405330000,臺灣高等法院高雄分院,860 ,310 ,"1,100 ",550 ,
2,39,1,,0405330100,罰金罰鍰及怠金,10 ,10 ,-,0 ,
2,39,1,1,0405330101,罰金罰鍰,10 ,10 ,-,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,39,2,,0405330200,沒入及沒收財物,850 ,300 ,"1,100 ",550 ,
2,39,2,1,0405330201,沒入金,850 ,300 ,"1,100 ",550 ,"本年度預算數係沒入刑事保證金
等收入。"
2,40,,,0405340000,臺灣高等法院花蓮分院,110 ,110 ,-,0 ,
2,40,1,,0405340100,罰金罰鍰及怠金,10 ,10 ,-,0 ,
2,40,1,1,0405340101,罰金罰鍰,10 ,10 ,-,0 ,"本年度預算數係證人無正當理由
未到庭作證等罰款收入。"
2,40,2,,0405340200,沒入及沒收財物,100 ,100 ,-,0 ,
2,40,2,1,0405340201,沒入金,100 ,100 ,-,0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,41,,,0405410000,臺灣臺北地方法院,"14,983 ","19,330 ","10,167 ","-4,347 ",
2,41,1,,0405410100,罰金罰鍰及怠金,200 ,230 ,228 ,-30 ,
2,41,1,1,0405410101,罰金罰鍰,200 ,230 ,228 ,-30 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,41,2,,0405410200,沒入及沒收財物,"14,783 ","19,100 ","9,926 ","-4,317 ",
2,41,2,1,0405410201,沒入金,"14,783 ","19,100 ","9,926 ","-4,317 ","本年度預算數係沒入刑事保證金
等收入。"
2,41,3,,0405410300,賠償收入,-,-,13 ,-,
2,41,3,1,0405410301,一般賠償收入,-,-,13 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,42,,,0405420000,臺灣士林地方法院,"6,134 ","6,134 ","8,140 ",0 ,
2,42,1,,0405420100,罰金罰鍰及怠金,45 ,45 ,15 ,0 ,
2,42,1,1,0405420101,罰金罰鍰,45 ,45 ,15 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,42,2,,0405420200,沒入及沒收財物,"6,089 ","6,089 ","8,123 ",0 ,
2,42,2,1,0405420201,沒入金,"6,089 ","6,089 ","8,123 ",0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,42,3,,0405420300,賠償收入,-,-,2 ,-,
2,42,3,1,0405420301,一般賠償收入,-,-,2 ,-,"前年度決算數係當事人毀損候審
室座椅賠償費收入。"
2,43,,,0405430000,臺灣板橋地方法院,"11,290 ","10,938 ","14,659 ",352 ,
2,43,1,,0405430100,罰金罰鍰及怠金,40 ,38 ,523 ,2 ,
2,43,1,1,0405430101,罰金罰鍰,40 ,38 ,523 ,2 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,43,2,,0405430200,沒入及沒收財物,"11,250 ","10,900 ","14,136 ",350 ,
2,43,2,1,0405430201,沒入金,"11,250 ","10,900 ","14,136 ",350 ,"本年度預算數係沒入刑事保證金
等收入。"
2,44,,,0405470000,臺灣桃園地方法院,"16,298 ","8,251 ","6,832 ","8,047 ",
2,44,1,,0405470100,罰金罰鍰及怠金,79 ,20 ,139 ,59 ,
2,44,1,1,0405470101,罰金罰鍰,79 ,20 ,139 ,59 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,44,2,,0405470200,沒入及沒收財物,"16,219 ","8,231 ","6,690 ","7,988 ",
2,44,2,1,0405470201,沒入金,"16,219 ","8,231 ","6,690 ","7,988 ","本年度預算數係沒入刑事保證金
等收入。"
2,44,3,,0405470300,賠償收入,-,-,4 ,-,
2,44,3,1,0405470301,一般賠償收入,-,-,4 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,45,,,0405480000,臺灣新竹地方法院,"2,360 ","1,362 ","2,495 ",998 ,
2,45,1,,0405480100,罰金罰鍰及怠金,80 ,12 ,87 ,68 ,
2,45,1,1,0405480101,罰金罰鍰,80 ,12 ,87 ,68 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,45,2,,0405480200,沒入及沒收財物,"2,280 ","1,350 ","2,408 ",930 ,
2,45,2,1,0405480201,沒入金,"2,280 ","1,350 ","2,408 ",930 ,"本年度預算數係沒入刑事保證金
等收入。"
2,46,,,0405490000,臺灣苗栗地方法院,"1,523 ","2,038 ","1,090 ",-515 ,
2,46,1,,0405490100,罰金罰鍰及怠金,13 ,38 ,-,-25 ,
2,46,1,1,0405490101,罰金罰鍰,13 ,38 ,-,-25 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,46,2,,0405490200,沒入及沒收財物,"1,510 ","2,000 ","1,090 ",-490 ,
2,46,2,1,0405490201,沒入金,"1,510 ","2,000 ","1,090 ",-490 ,"本年度預算數係沒入刑事保證金
等收入。"
2,47,,,0405500000,臺灣臺中地方法院,"21,419 ","20,300 ","20,448 ","1,119 ",
2,47,1,,0405500100,罰金罰鍰及怠金,317 ,300 ,398 ,17 ,
2,47,1,1,0405500101,罰金罰鍰,317 ,300 ,398 ,17 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,47,2,,0405500200,沒入及沒收財物,"21,102 ","20,000 ","20,050 ","1,102 ",
2,47,2,1,0405500201,沒入金,"21,102 ","20,000 ","20,050 ","1,102 ","本年度預算數係沒入刑事保證金
等收入。"
2,48,,,0405510000,臺灣南投地方法院,"1,020 ","1,020 ",693 ,0 ,
2,48,1,,0405510100,罰金罰鍰及怠金,20 ,20 ,3 ,0 ,
2,48,1,1,0405510101,罰金罰鍰,20 ,20 ,3 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,48,2,,0405510200,沒入及沒收財物,"1,000 ","1,000 ",690 ,0 ,
2,48,2,1,0405510201,沒入金,"1,000 ","1,000 ",690 ,0 ,"本年度預算數係沒入刑事保證金
等收入。"
2,49,,,0405520000,臺灣彰化地方法院,"4,032 ","3,960 ","6,854 ",72 ,
2,49,1,,0405520100,罰金罰鍰及怠金,50 ,50 ,21 ,0 ,
2,49,1,1,0405520101,罰金罰鍰,50 ,50 ,21 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,49,2,,0405520200,沒入及沒收財物,"3,982 ","3,910 ","6,833 ",72 ,
2,49,2,1,0405520201,沒入金,"3,982 ","3,910 ","6,833 ",72 ,"本年度預算數係沒入刑事保證金
等收入。"
2,50,,,0405530000,臺灣雲林地方法院,"4,016 ","3,408 ","2,617 ",608 ,
2,50,1,,0405530100,罰金罰鍰及怠金,16 ,8 ,15 ,8 ,
2,50,1,1,0405530101,罰金罰鍰,16 ,8 ,15 ,8 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,50,2,,0405530200,沒入及沒收財物,"4,000 ","3,400 ","2,602 ",600 ,
2,50,2,1,0405530201,沒入金,"4,000 ","3,400 ","2,602 ",600 ,"本年度預算數係沒入刑事保證金
等收入。"
2,51,,,0405540000,臺灣嘉義地方法院,"1,680 ","1,530 ","1,284 ",150 ,
2,51,1,,0405540100,罰金罰鍰及怠金,80 ,30 ,63 ,50 ,
2,51,1,1,0405540101,罰金罰鍰,80 ,30 ,63 ,50 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,51,2,,0405540200,沒入及沒收財物,"1,600 ","1,500 ","1,221 ",100 ,
2,51,2,1,0405540201,沒入金,"1,600 ","1,500 ","1,221 ",100 ,"本年度預算數係沒入刑事保證金
等收入。"
2,52,,,0405560000,臺灣臺南地方法院,"7,040 ","6,040 ","7,017 ","1,000 ",
2,52,1,,0405560100,罰金罰鍰及怠金,40 ,40 ,30 ,0 ,
2,52,1,1,0405560101,罰金罰鍰,40 ,40 ,30 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,52,2,,0405560200,沒入及沒收財物,"7,000 ","6,000 ","6,943 ","1,000 ",
2,52,2,1,0405560201,沒入金,"7,000 ","6,000 ","6,943 ","1,000 ","本年度預算數係沒入刑事保證金
等收入。"
2,52,3,,0405560300,賠償收入,-,-,44 ,-,
2,52,3,1,0405560301,一般賠償收入,-,-,44 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,53,,,0405580000,臺灣高雄地方法院,"12,903 ","13,168 ","12,894 ",-265 ,
2,53,1,,0405580100,罰金罰鍰及怠金,-,-,18 ,-,
2,53,1,1,0405580101,罰金罰鍰,-,-,18 ,-,"前年度決算數係證人無正當理由
未到庭作證等罰鍰收入。"
2,53,2,,0405580200,沒入及沒收財物,"12,903 ","13,168 ","12,849 ",-265 ,
2,53,2,1,0405580201,沒入金,"12,903 ","13,168 ","12,849 ",-265 ,"本年度預算數係沒入刑事保證金
等收入。"
2,53,3,,0405580300,賠償收入,-,-,27 ,-,
2,53,3,1,0405580301,一般賠償收入,-,-,27 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,54,,,0405590000,臺灣屏東地方法院,"3,510 ","3,110 ","3,417 ",400 ,
2,54,1,,0405590100,罰金罰鍰及怠金,10 ,10 ,25 ,0 ,
2,54,1,1,0405590101,罰金罰鍰,10 ,10 ,25 ,0 ,"本年度預算數係忽視少年教養及
證人無正當理由未到庭作證等罰
款收入。"
2,54,2,,0405590200,沒入及沒收財物,"3,500 ","3,100 ","3,333 ",400 ,
