款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,說明
,,,,,合          計,"1,552,032,459 ","1,673,231,316 ","1,640,883,738 ","-121,198,857 ",
1,,,,0100000000,稅課收入,"1,126,357,000 ","1,267,135,000 ","1,242,941,810 ","-140,778,000 ",
1,1,,,0117010000,財政部,"1,126,357,000 ","1,267,135,000 ","1,242,941,789 ","-140,778,000 ",
1,1,1,,0117010100,所得稅,"620,331,000 ","719,974,000 ","751,489,538 ","-99,643,000 ",
1,1,1,1,0117010101,營利事業所得稅,"290,934,000 ","364,675,000 ","400,720,356 ","-73,741,000 ","估計本年度收入如列數，其中臺
北市國稅局為127,138,000千元
，高雄市國稅局為28,059,000千
元，臺灣省北區國稅局為95,168
,000千元，臺灣省中區國稅局為
46,420,000千元，臺灣省南區國
稅局為26,475,000千元，合共32
3,260,000千元，按90％計列290
,934,000千元。"
1,1,1,2,0117010102,綜合所得稅,"329,397,000 ","355,299,000 ","350,769,182 ","-25,902,000 ","估計本年度收入如列數，其中臺
北市國稅局為196,462,667千元
，高雄市國稅局為21,948,000千
元，臺灣省北區國稅局為99,639
,000千元，臺灣省中區國稅局為
28,265,000千元，臺灣省南區國
稅局為19,682,000千元，合共36
5,996,667千元，按90％計列329
,397,000千元。"
1,1,2,,0117010200,遺產及贈與稅,"6,130,000 ","6,000,000 ","10,802,055 ","130,000 ",
1,1,2,1,0117010201,遺產稅,"4,904,000 ","4,800,000 ","9,212,878 ","104,000 ","估計本年度收入如列數，其中臺
北市國稅局為6,426,665千元，
按50％計列3,213,333千元，高
雄市國稅局為736,000千元，按5
0％計列368,000千元；臺灣省北
區國稅局為3,381,335千元，臺
灣省中區國稅局為1,800,000千
元，臺灣省南區國稅局為1,432,
000千元，合共6,613,335千元，
按20％計列1,322,667千元。"
1,1,2,2,0117010202,贈與稅,"1,226,000 ","1,200,000 ","1,589,177 ","26,000 ","估計本年度收入如列數，其中臺
北市國稅局為1,606,666千元，
按50％計列803,333千元，高雄
市國稅局為184,000千元，按50
％計列92,000千元；臺灣省北區
國稅局為845,334千元，臺灣省
中區國稅局為450,000千元，臺
灣省南區國稅局為358,000千元
，合共1,653,334千元，按20％ 
計列330,667千元。"
1,1,3,,0117010300,關稅,"75,300,000 ","84,000,000 ","80,425,705 ","-8,700,000 ",估計本年度收入如列數。
1,1,4,,0117010400,貨物稅,"122,427,000 ","128,565,000 ","113,993,650 ","-6,138,000 ","估計本年度收入如列數，其中臺
北市國稅局為63,000千元，高雄
市國稅局為42,509,000千元，臺
灣省北區國稅局為65,871,000千
元，臺灣省中區國稅局為24,182
,000千元，臺灣省南區國稅局為
3,405,000千元，合共136,030,0
00千元，按90％計列122,427,00
0千元。"
1,1,5,,0117010500,證券交易稅,"122,000,000 ","122,000,000 ","90,630,291 ",0 ,"估計本年度收入如列數，其中臺
北市國稅局為62,521,000千元，
高雄市國稅局為7,771,000千元
，臺灣省北區國稅局為24,973,0
00千元，臺灣省中區國稅局為15
,737,000千元，臺灣省南區國稅
局為10,998,000千元。"
1,1,6,,0117010800,期貨交易稅,"4,352,000 ","5,000,000 ","6,691,514 ","-648,000 ","估計本年度收入如列數，其中臺
北市國稅局為3,995,000千元，
高雄市國稅局為126,000千元，
臺灣省北區國稅局為65,000千元
，臺灣省中區國稅局為133,000
千元，臺灣省南區國稅局為33,0
00千元。"
1,1,7,,0117010900,菸酒稅,"39,437,000 ","43,000,000 ","39,605,040 ","-3,563,000 ","估計本年度收入如列數，其中臺
北市國稅局為15,250千元，高雄
市國稅局為3,432,000千元，臺
灣省北區國稅局為25,917,000千
元，臺灣省中區國稅局為11,444
,000千元，臺灣省南區國稅局為
8,488,000千元，合共49,296,25
0千元，按80%計列39,437,000千
元。"
1,1,8,,0117011100,營業稅,"136,380,000 ","158,596,000 ","149,303,994 ","-22,216,000 ","估計本年度營業稅收入222,843,
137千元，依加值型及非加值型
營業稅法第58條規定，提撥統一
發票獎金之經費6,685,294千元
外，另按餘數提列60%計129,694
,706千元，合共如列數，其中臺
北市國稅局為86,066,000千元，
高雄市國稅局為7,297,000千元
，臺灣省北區國稅局為19,407,0
00千元，臺灣省中區國稅局為14
,845,000千元，臺灣省南區國稅
局為8,765,000千元。"
1,2,,,0126010000,經濟部,-,-,21 ,-,
1,2,1,,0126010600,礦區稅,-,-,21 ,-,"前年度決算數係開徵礦區稅及追
繳以前各期欠稅等收入。"
2,,,,0400000000,罰款及賠償收入,"24,313,653 ","22,355,765 ","27,364,602 ","1,957,888 ",
2,1,,,0402010000,總統府,-,-,688 ,-,
2,1,1,,0402010300,賠償收入,-,-,688 ,-,
2,1,1,1,0402010301,一般賠償收入,-,-,688 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,2,,,0402310000,國史館臺灣文獻館,-,-,64 ,-,
2,2,1,,0402310300,賠償收入,-,-,64 ,-,
2,2,1,1,0402310301,一般賠償收入,-,-,64 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,3,,,0402400000,中央研究院,"2,500 ","2,500 ","5,149 ",0 ,
2,3,1,,0402400300,賠償收入,"2,500 ","2,500 ","5,149 ",0 ,
2,3,1,1,0402400301,一般賠償收入,"2,500 ","2,500 ","5,149 ",0 ,"本年度預算數係圖書借閱逾期、
廠商違約逾期交貨等賠償收入。"
2,4,,,0403010000,行政院,-,-,28 ,-,
2,4,1,,0403010300,賠償收入,-,-,28 ,-,
2,4,1,1,0403010301,一般賠償收入,-,-,28 ,-,"前年度決算數係廠商違約逾期完
工之賠償收入。"
2,5,,,0403100000,主計處,-,-,157 ,-,
2,5,1,,0403100300,賠償收入,-,-,157 ,-,
2,5,1,1,0403100301,一般賠償收入,-,-,157 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,6,,,0403110000,主計處電子處理資料中心,-,-,704 ,-,
2,6,1,,0403110300,賠償收入,-,-,704 ,-,
2,6,1,1,0403110301,一般賠償收入,-,-,704 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,7,,,0403200000,新聞局,"4,000 ","1,601 ","3,095 ","2,399 ",
2,7,1,,0403200100,罰金罰鍰及怠金,"1,500 ","1,601 ",548 ,-101 ,
2,7,1,1,0403200101,罰金罰鍰,"1,500 ","1,601 ",548 ,-101 ,"本年度預算數係取締非法錄影節
目帶及電影違映之罰款收入。"
2,7,2,,0403200300,賠償收入,"2,500 ",-,"2,547 ","2,500 ",
2,7,2,1,0403200301,一般賠償收入,"2,500 ",-,"2,547 ","2,500 ","本年度預算數係廠商違約賠償等
收入。"
2,8,,,0403300000,人事行政局,-,-,306 ,-,
2,8,1,,0403300300,賠償收入,-,-,306 ,-,
2,8,1,1,0403300301,一般賠償收入,-,-,306 ,-,"前年度決算數係廠商違約逾期交
貨及出國專題研究人員未依規定
履行服務等賠償收入。"
2,9,,,0403310000,公務人力發展中心,-,-,17 ,-,
2,9,1,,0403310300,賠償收入,-,-,17 ,-,
2,9,1,1,0403310301,一般賠償收入,-,-,17 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,10,,,0403320000,公務人員住宅及福利委員會,-,-,33 ,-,
2,10,1,,0403320300,賠償收入,-,-,33 ,-,
2,10,1,1,0403320301,一般賠償收入,-,-,33 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,11,,,0403330000,地方行政研習中心,-,-,36 ,-,
2,11,1,,0403330300,賠償收入,-,-,36 ,-,
2,11,1,1,0403330301,一般賠償收入,-,-,36 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,12,,,0403400000,國立故宮博物院,100 ,50 ,"2,872 ",50 ,
2,12,1,,0403400300,賠償收入,100 ,50 ,"2,872 ",50 ,
2,12,1,1,0403400301,一般賠償收入,100 ,50 ,"2,872 ",50 ,"本年度預算數係廠商違約逾期交
貨之賠償收入。"
2,13,,,0403500000,經濟建設委員會,-,-,"3,076 ",-,
2,13,1,,0403500300,賠償收入,-,-,"3,076 ",-,
2,13,1,1,0403500301,一般賠償收入,-,-,"3,076 ",-,"前年度決算數係廠商違約之賠償
收入。"
2,14,,,0403520000,銀行局,-,-,7 ,-,
2,14,1,,0403520300,賠償收入,-,-,7 ,-,
2,14,1,1,0403520301,一般賠償收入,-,-,7 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。"
2,15,,,0403530000,證券期貨局,-,-,"367,702 ",-,
2,15,1,,0403530100,罰金罰鍰及怠金,-,-,"367,702 ",-,
2,15,1,1,0403530101,罰金罰鍰,-,-,"367,702 ",-,"前年度決算數係應收以前年度證
券期貨業者罰金罰鍰收入。"
2,16,,,0403540000,保險局,-,-,600 ,-,
2,16,1,,0403540100,罰金罰鍰及怠金,-,-,600 ,-,
2,16,1,1,0403540101,罰金罰鍰,-,-,600 ,-,"前年度決算數係應收以前年度保
險業者罰金罰鍰收入。"
2,17,,,0403600000,中央選舉委員會及所屬,"1,155 ",65 ,"54,577 ","1,090 ",
2,17,1,,0403600100,罰金罰鍰及怠金,"1,155 ",65 ,"4,647 ","1,090 ",
2,17,1,1,0403600101,罰金罰鍰,"1,155 ",65 ,"4,647 ","1,090 ","本年度預算數係違反公職人員選
舉罷免法之罰款收入。"
2,17,2,,0403600200,沒入及沒收財物,-,-,"49,800 ",-,
